,name,year,genre,country,duration,age_limit,budget,director,rating
462,Мачо и ботан 2 (2014),2014,комедия,США,112,16 +,50000000,null,7.0
463,Трансформеры: Эпоха истребления (2014),2014,боевик,США,165,6 +,210000000,Майкл Бэй,5.6
464,Черепашки-ниндзя (2014),2014,комедия,США,101,6 +,125000000,Джонатан Либесман,5.8
465,Гравитация (2013),2013,триллер,США,90,12 +,100000000,Альфонсо Куарон,7.7
466,Копы в юбках (2013),2013,комедия,США,117,16 +,43000000,Пол Фиг,6.6
467,Мальчишник: Часть III (2013),2013,комедия,США,100,16 +,103000000,Тодд Филлипс,5.9
468,Призрачный патруль (2013),2013,комедия,США,96,12 +,130000000,Роберт Швентке,5.6
469,Тихоокеанский рубеж (2013),2013,боевик,США,131,12 +,190000000,Гильермо дель Торо,6.9
470,Джон Картер (2012),2012,боевик,США,132,12 +,250000000,Эндрю Стэнтон,6.6
471,Первый мститель (2011),2011,боевик,США,124,16 +,140000000,Джо Джонстон,6.9
472,Сумерки. Сага. Рассвет. Часть I (2011),2011,драма,США,117,16 +,110000000,Билл Кондон,4.9
473,Гадкий я (2010),2010,комедия,США,95,12 +,69000000,null,7.6
474,Черный лебедь (2010),2010,драма,США,108,18 +,13000000,Даррен Аронофски,8.0
475,2012 (2009),2009,драма,США,158,16 +,200000000,Роланд Эммерих,5.8
476,Вверх (2009),2009,драма,США,96,0 +,175000000,null,8.3
477,Мальчишник в Вегасе (2009),2009,комедия,США,96,16 +,35000000,Тодд Филлипс,7.7
478,Предложение (2009),2009,драма,США,108,16 +,40000000,Энн Флетчер,6.8
479,Миллионер из трущоб (2008),2008,драма,США,120,16 +,15000000,null,8.0
480,Илья Муромец и Соловей-Разбойник (2007),2007,комедия,Россия,76,12 +,2000000,Владимир Торопчин,6.8
481,Добрыня Никитич и Змей Горыныч (2006),2006,комедия,Россия,75,0 +,4500000,Илья Максимов,7.0
482,Парфюмер: История одного убийцы (2006),2006,драма,США,147,18 +,60000000,Том Тыквер,7.5
483,Звездные войны: Эпизод 3 - Месть Ситхов (2005),2005,боевик,США,140,12 +,113000000,Джордж Лукас,7.6
484,Между небом и землей (2005),2005,мелодрама,США,95,12 +,58000000,Марк Уотерс,6.7
485,Мистер и миссис Смит (2005),2005,мелодрама,США,120,16 +,110000000,Даг Лайман,6.5
486,Статский советник (2005),2005,драма,Россия,125,16 +,4000000,Филипп Янковский,7.0
487,Авиатор (2004),2004,драма,США,163,16 +,110000000,Мартин Скорсезе,7.5
488,Алеша Попович и Тугарин Змей (2004),2004,комедия,Россия,72,12 +,4000000,Константин Бронзит,7.1
489,Ван Хельсинг (2004),2004,драма,США,131,16 +,160000000,Стивен Соммерс,6.1
490,Хроники Риддика (2004),2004,триллер,США,119,16 +,110000000,Дэвид Туи,6.6
491,Идентификация Борна (2002),2002,триллер,США,119,16 +,60000000,Даг Лайман,7.8
492,Трасса 60 (2002),2002,драма,США,116,16 +,7000000,Боб Гейл,7.5
493,Заплати другому (2000),2000,драма,США,123,16 +,40000000,Мими Ледер,7.2
494,Люди Икс (2000),2000,боевик,США,105,16 +,75000000,Брайан Сингер,7.3
495,Двухсотлетний человек (1999),1999,драма,США,126,0 +,100000000,Крис Коламбус,6.9
496,Умница Уилл Хантинг (1997),1997,драма,США,126,16 +,10000000,Гас Ван Сент,8.3
497,Балто (1995),1995,драма,США,78,0 +,null,Саймон Уэллс,7.1
498,Казино (1995),1995,драма,США,178,16 +,52000000,Мартин Скорсезе,8.2
499,Особенности национальной охоты (1995),1995,комедия,Россия,93,16 +,null,Александр Рогожкин,7.4
500,Схватка (1995),1995,драма,США,170,16 +,60000000,Майкл Манн,8.3
501,Аладдин (1992),1992,мелодрама,США,90,0 +,28000000,null,8.0
502,Бешеные псы (1992),1992,триллер,США,100,18 +,1200000,Квентин Тарантино,8.3
503,Невезучие (1981),1981,комедия,Мальта,91,12 +,null,Франсис Вебер,7.3
504,Игрушка (1976),1976,комедия,Франция,95,12 +,null,Франсис Вебер,7.4
505,"Анжелика, маркиза ангелов (1964)",1964,мелодрама,Германия,115,16 +,null,Бернар Бордери,6.7
507,Командир (2024),2024,драма,Россия,130,16 +,null,null,6.3
508,Операция «Фортуна»: Искусство побеждать (2023),2023,комедия,США,114,18 +,null,Гай Ричи,6.3
509,День курка (2021),2021,боевик,США,100,18 +,null,Джо Карнахан,6.8
510,Конек-Горбунок (2021),2021,комедия,Россия,111,6 +,null,Олег Погодин,5.7
511,Круиз по джунглям (2021),2021,комедия,США,127,12 +,null,Жауме Кольет-Серра,6.6
512,Том и Джерри (2021),2021,комедия,США,101,6 +,null,Тим Стори,5.3
513,Шан-Чи и легенда Десяти колец (2021),2021,боевик,США,132,16 +,null,Дестин Дэниел Креттон,7.3
514,Довод (2020),2020,драма,США,150,16 +,205000000,Кристофер Нолан,7.3
515,Еще по одной (2020),2020,драма,Дания,110,18 +,null,Томас Винтерберг,7.7
516,Побег из Претории (2020),2020,триллер,Великобритания,101,16 +,null,Френсис Аннан,6.8
517,Аладдин (2019),2019,мелодрама,США,128,6 +,null,Гай Ричи,6.9
518,Игры разумов (2019),2019,драма,Ирландия,124,16 +,25000000,Фарад Сафиниа,7.2
519,Капитан Марвел (2019),2019,боевик,США,124,16 +,null,null,6.7
520,Хороший доктор (2019),2019,комедия,Франция,90,16 +,null,Тристан Сегела,6.5
521,Шазам! (2019),2019,боевик,США,132,12 +,null,Дэвид Ф. Сандберг,7.0
522,8 подруг Оушена (2018),2018,комедия,США,110,16 +,null,Гэри Росс,6.3
523,Легенда о Коловрате (2017),2017,боевик,Россия,120,12 +,null,Иван Шурховецкий,6.1
524,Тайна Коко (2017),2017,комедия,США,105,12 +,null,null,8.4
525,Алиса в Зазеркалье (2016),2016,приключения,США,113,12 +,170000000,Джеймс Бобин,6.2
526,Моана (2016),2016,комедия,США,107,6 +,150000000,null,7.6
527,Новый Человек-паук: Высокое напряжение (2014),2014,боевик,США,142,12 +,200000000,Марк Уэбб,6.6
528,Планета обезьян: Революция (2014),2014,драма,США,130,12 +,170000000,Мэтт Ривз,7.6
529,Смешанные (2014),2014,комедия,США,117,12 +,40000000,Фрэнк Корачи,6.5
530,Три богатыря. Ход конем (2014),2014,комедия,Россия,74,6 +,null,Константин Феоктистов,5.2
531,47 ронинов (2013),2013,боевик,США,119,12 +,175000000,Карл Ринш,6.2
532,Гагарин. Первый в космосе (2013),2013,драма,Россия,108,6 +,9500000,Павел Пархоменко,6.5
533,Далласский клуб покупателей (2013),2013,драма,США,118,18 +,5000000,Жан-Марк Валле,7.9
534,Малавита (2013),2013,комедия,США,116,18 +,30000000,Люк Бессон,6.3
535,Околофутбола (2013),2013,драма,Россия,100,16 +,null,Антон Борматов,6.4
536,Перси Джексон и Море чудовищ (2013),2013,приключения,США,106,6 +,90000000,Тор Фройденталь,5.7
537,Мамы (2012),2012,мелодрама,Россия,103,12 +,2000000,null,6.6
538,Прометей (2012),2012,боевик,США,124,16 +,250000000,Ридли Скотт,7.0
539,Три богатыря на дальних берегах (2012),2012,комедия,Россия,65,0 +,null,Константин Феоктистов,5.1
540,Три метра над уровнем неба: Я тебя хочу (2012),2012,драма,Испания,119,18 +,null,Фернандо Гонзалез Молина,6.7
541,Храбрая сердцем (2012),2012,мультфильмы,США,93,0 +,185000000,null,7.1
542,Девушка с татуировкой дракона (2011),2011,драма,США,153,18 +,90000000,Дэвид Финчер,7.8
544,Линкольн для адвоката (2011),2011,драма,США,118,16 +,40000000,Брэд Фурман,7.3
545,Притворись моей женой (2011),2011,мелодрама,США,117,16 +,80000000,Деннис Дуган,6.4
546,Реквием по убийце (2011),2011,триллер,Франция,91,18 +,null,Жером Ле Гри,5.1
547,Астрал (2010),2010,триллер,США,103,16 +,1500000,Джеймс Ван,6.8
548,Ученик чародея (2010),2010,драма,США,109,12 +,150000000,Джон Тёртелтауб,6.1
549,Невидимая сторона (2009),2009,драма,США,129,16 +,29000000,Джон Ли Хэнкок,7.6
550,Кунг-фу Панда (2008),2008,комедия,США,90,12 +,130000000,null,7.6
551,Сумерки (2008),2008,драма,США,122,16 +,37000000,Кэтрин Хардвик,5.3
552,Трансформеры (2007),2007,боевик,США,144,16 +,150000000,Майкл Бэй,7.1
553,Тринадцать друзей Оушена (2007),2007,триллер,США,122,16 +,85000000,Стивен Содерберг,6.9
554,Ультиматум Борна (2007),2007,триллер,США,115,16 +,110000000,Пол Гринграсс,8.0
555,Дьявол носит Prada (2006),2006,драма,США,109,16 +,35000000,Дэвид Фрэнкел,7.0
556,Люди Икс: Последняя битва (2006),2006,триллер,США,104,16 +,210000000,Бретт Рэтнер,6.6
557,Гордость и предубеждение (2005),2005,драма,США,127,0 +,28000000,Джо Райт,7.8
558,Кинг-Конг (2005),2005,драма,США,187,18 +,207000000,Питер Джексон,7.2
559,"Хроники Нарнии: Лев, колдунья и волшебный шкаф (2005)",2005,приключения,США,143,12 +,180000000,Эндрю Адамсон,6.9
560,Чарли и шоколадная фабрика (2005),2005,комедия,США,115,12 +,150000000,Тим Бертон,6.7
561,Вечное сияние чистого разума (2004),2004,драма,США,108,16 +,20000000,Мишель Гондри,8.3
562,Двенадцать друзей Оушена (2004),2004,триллер,США,125,12 +,110000000,Стивен Содерберг,6.5
563,Шрэк 2 (2004),2004,комедия,США,93,0 +,150000000,null,7.4
564,В поисках Немо (2003),2003,комедия,США,100,0 +,94000000,null,8.2
565,Люди Икс 2 (2003),2003,триллер,США,133,12 +,110000000,Брайан Сингер,7.4
566,Война (2002),2002,драма,Россия,120,16 +,null,Алексей Балабанов,7.5
567,Люди в черном 2 (2002),2002,комедия,США,88,12 +,140000000,Барри Зонненфельд,6.2
568,Перевозчик (2002),2002,триллер,США,92,16 +,21000000,null,6.8
569,Эквилибриум (2002),2002,драма,США,107,16 +,20000000,Курт Уиммер,7.3
570,Кейт и Лео (2001),2001,мелодрама,США,113,12 +,48000000,Джеймс Мэнголд,6.4
571,Сладкий ноябрь (2001),2001,драма,США,119,18 +,40000000,Пэт О’Коннор,6.7
572,Форсаж (2001),2001,триллер,США,106,16 +,38000000,Роб Коэн,6.8
573,Такси 2 (2000),2000,комедия,Франция,88,12 +,null,Жерар Кравчик,6.5
574,Армагеддон (1998),1998,триллер,США,144,12 +,140000000,Майкл Бэй,6.7
575,Классик (1998),1998,боевик,Россия,100,16 +,null,Георгий Шенгелия,6.7
576,Сибирский цирюльник (1998),1998,драма,Россия,179,16 +,35000000,Никита Михалков,7.6
577,От заката до рассвета (1996),1996,боевик,США,108,16 +,19000000,Роберт Родригес,7.2
578,Ты у меня одна (1993),1993,драма,Россия,101,16 +,null,Дмитрий Астрахан,7.1
579,Основной инстинкт (1992),1992,триллер,США,127,18 +,40000000,Пол Верховен,7.1
580,Вспомнить все (1990),1990,триллер,США,113,18 +,65000000,Пол Верховен,7.5
581,Танцор диско (1982),1982,драма,Индия,150,12 +,null,Баббар Субхаш,6.5
582,Зита и Гита (1972),1972,драма,Индия,162,12 +,null,Рамеш Сиппи,6.9
583,Онегин (2024),2024,драма,Россия,140,6 +,null,Сарик Андреасян,6.9
584,Вася не в себе (2023),2023,комедия,Россия,90,12 +,null,Гарик Петросян,6.2
585,Матрица: Воскрешение (2021),2021,боевик,США,148,12 +,null,Лана Вачовски,5.6
586,Телохранитель жены киллера (2021),2021,комедия,США,116,18 +,null,Патрик Хьюз,6.1
587,Громкая связь (2019),2019,комедия,Россия,90,18 +,null,Алексей Нужный,6.6
588,Дамбо (2019),2019,драма,США,112,6 +,null,Тим Бертон,6.2
589,Черная Пантера (2018),2018,драма,США,134,16 +,null,Райан Куглер,7.3
590,Джуманджи: Зов джунглей (2017),2017,комедия,США,119,12 +,null,Джейк Кэздан,7.0
591,Чудо на Гудзоне (2016),2016,драма,США,96,16 +,60000000,Клинт Иствуд,7.4
592,Багровый пик (2015),2015,драма,США,120,18 +,55000000,Гильермо дель Торо,6.5
593,В сердце моря (2015),2015,драма,США,122,12 +,100000000,Рон Ховард,6.9
594,Холодное торжество (2015),2015,комедия,США,7,0 +,null,null,6.8
595,300 спартанцев: Расцвет империи (2014),2014,драма,США,102,16 +,110000000,Ноам Мурро,6.2
596,3 дня на убийство (2014),2014,драма,США,117,12 +,28000000,МакДжи,6.2
597,Красавица и чудовище (2014),2014,мелодрама,Германия,112,18 +,null,Кристоф Ганс,6.4
598,Пингвины Мадагаскара (2014),2014,комедия,США,92,0 +,132000000,null,6.6
599,Превосходство (2014),2014,драма,США,119,12 +,100000000,Уолли Пфистер,6.2
600,Рио 2 (2014),2014,комедия,США,101,0 +,103000000,Карлос Салдана,6.3
601,Бойфренд из будущего (2013),2013,драма,Великобритания,123,12 +,95000000,Ричард Кертис,7.8
602,Географ глобус пропил (2013),2013,драма,Россия,120,16 +,4000000,Александр Велединский,7.3
603,Одинокий рейнджер (2013),2013,боевик,США,149,12 +,215000000,Гор Вербински,6.4
604,РЭД 2 (2013),2013,комедия,США,116,12 +,84000000,Дин Паризо,6.6
605,Тепло наших тел (2013),2013,мелодрама,США,98,12 +,null,Джонатан Левин,6.8
606,007: Координаты «Скайфолл» (2012),2012,драма,США,143,16 +,200000000,Сэм Мендес,7.8
607,Ледниковый период 4: Континентальный дрейф (2012),2012,комедия,США,88,0 +,95000000,null,6.5
608,Очень опасная штучка (2012),2012,мелодрама,США,91,16 +,40000000,Джули Энн Робинсон,5.3
609,Воин (2011),2011,драма,США,140,12 +,25000000,Гэвин О’Коннор,8.1
610,Двойная жизнь Чарли Сан-Клауда (2010),2010,драма,США,99,16 +,44000000,Бёрр Стирс,6.4
611,Принц Персии: Пески времени (2010),2010,мелодрама,США,115,16 +,150000000,Майк Ньюэлл,6.5
612,Хроники Нарнии: Покоритель Зари (2010),2010,приключения,США,113,12 +,155000000,Майкл Аптед,6.3
613,Каникулы строгого режима (2009),2009,драма,Россия,113,12 +,5000000,Игорь Зайцев,6.2
614,Форсаж 4 (2009),2009,драма,США,107,16 +,85000000,Джастин Лин,6.5
615,Адмиралъ (2008),2008,драма,Россия,124,16 +,20000000,Андрей Кравчук,6.6
616,Марли и я (2008),2008,драма,США,115,12 +,60000000,Дэвид Фрэнкел,7.0
617,Мгла (2007),2007,триллер,США,120,16 +,18000000,Фрэнк Дарабонт,7.1
618,Казино Рояль (2006),2006,триллер,США,144,12 +,150000000,Мартин Кэмпбелл,8.0
619,"Я, робот (2004)",2004,триллер,США,115,16 +,120000000,Алекс Пройас,7.1
620,Жизнь Дэвида Гейла (2003),2003,драма,США,130,18 +,38000000,Алан Паркер,7.5
621,Васаби (2001),2001,драма,Франция,94,18 +,null,Жерар Кравчик,6.6
622,Мумия возвращается (2001),2001,боевик,США,130,12 +,98000000,Стивен Соммерс,6.4
623,Свадебный переполох (2001),2001,мелодрама,США,103,12 +,35000000,Адам Шенкман,5.4
624,Сестры (2001),2001,драма,Россия,83,0 +,null,Сергей Бодров-мл.,7.0
625,Звездные войны: Эпизод 1 - Скрытая угроза (1999),1999,боевик,США,136,6 +,115000000,Джордж Лукас,6.5
626,Час пик (1998),1998,комедия,США,98,16 +,33000000,Бретт Рэтнер,7.0
627,Английский пациент (1996),1996,драма,США,155,16 +,27000000,Энтони Мингелла,7.4
628,Скала (1996),1996,триллер,США,136,16 +,75000000,Майкл Бэй,7.4
629,Барышня-крестьянка (1995),1995,драма,Россия,110,0 +,null,Алексей Сахаров,6.7
630,Няньки (1994),1994,комедия,США,93,12 +,null,Джон Парагон,6.0
631,Парк Юрского периода (1993),1993,приключения,США,127,6 +,63000000,Стивен Спилберг,8.2
632,Звездные войны: Эпизод 6 — Возвращение Джедая (1983),1983,боевик,США,131,12 +,32500000,Ричард Маркуэнд,8.3
633,Зорро (1975),1975,комедия,Италия,125,12 +,null,Дуччо Тессари,6.4
634,Горизонты: Часть 1 (2024),2024,драма,США,181,18 +,null,Кевин Костнер,6.6
635,Манюня: Приключения в Москве (2024),2024,комедия,Россия,90,6 +,null,Денис Гуляр,5.6
636,Моя жена – киллер (2023),2023,комедия,США,100,16 +,null,Томас Винсент,5.4
637,"На солнце, вдоль рядов кукурузы (2023)",2023,драма,Россия,100,6 +,null,Сарик Андреасян,6.1
638,Круэлла (2021),2021,драма,США,134,12 +,null,Крэйг Гиллеспи,7.3
639,Мортал Комбат (2021),2021,триллер,США,95,18 +,null,Саймон Маккуойд,6.1
640,Верю в любовь (2020),2020,драма,США,115,12 +,null,null,6.5
641,Гренландия (2020),2020,боевик,США,119,16 +,null,Рик Роман Во,6.4
642,Отель «Белград» (2020),2020,мелодрама,Россия,107,6 +,null,Константин Статский,6.2
643,Мир Юрского периода 2 (2018),2018,боевик,США,128,12 +,260000000,Хуан Антонио Байона,6.1
644,Полицейский с Рублевки. Новогодний беспредел (2018),2018,комедия,Россия,90,16 +,null,Илья Куликов,5.8
645,Полночное солнце (2018),2018,драма,США,91,16 +,null,Скотт Спир,6.6
646,"Три билборда на границе Эббинга, Миссури (2017)",2017,драма,США,115,18 +,15000000,Мартин МакДона,8.1
647,Бэтмен против Супермена: На заре справедливости (2016),2016,боевик,США,153,16 +,250000000,Зак Снайдер,6.4
648,Стартрек: Бесконечность (2016),2016,триллер,США,120,16 +,185000000,Джастин Лин,7.0
649,Простушка (2015),2015,комедия,США,101,18 +,8500000,Эри Сандел,6.4
650,Шеф Адам Джонс (2015),2015,драма,США,101,18 +,20000000,Джон Уэллс,6.6
651,Вселенная Стивена Хокинга (2014),2014,драма,Великобритания,123,16 +,15000000,Джеймс Марш,7.7
652,Неудержимые 3 (2014),2014,триллер,США,126,12 +,90000000,Патрик Хьюз,6.1
653,Ночь в музее: Секрет гробницы (2014),2014,комедия,США,98,6 +,127000000,Шон Леви,6.2
654,Шаг вперед: Все или ничего (2014),2014,драма,США,95,12 +,null,Триш Си,5.9
655,Гостья (2013),2013,драма,США,125,12 +,44000000,Эндрю Никкол,5.8
656,Мама (2013),2013,триллер,Испания,100,16 +,15000000,Андрес Мускетти,6.2
657,Невероятная жизнь Уолтера Митти (2013),2013,драма,США,114,12 +,90000000,Бен Стиллер,7.3
658,Человек из стали (2013),2013,боевик,США,143,12 +,225000000,Зак Снайдер,7.1
659,Элизиум: Рай не на Земле (2013),2013,драма,США,109,16 +,115000000,Нил Бломкамп,6.6
660,Заложница 2 (2012),2012,драма,Франция,91,16 +,45000000,Оливье Мегатон,6.2
661,Мадагаскар 3 (2012),2012,мультфильмы,США,93,0 +,145000000,null,6.8
662,Монстры на каникулах (2012),2012,комедия,США,91,12 +,85000000,Генндий Тартаковский,7.0
663,Неудержимые 2 (2012),2012,триллер,США,103,16 +,100000000,Саймон Уэст,6.6
664,Облачный атлас (2012),2012,драма,США,172,18 +,100000000,null,7.4
665,Петля времени (2012),2012,боевик,США,118,18 +,null,Райан Джонсон,7.4
666,Профессионал (2011),2011,триллер,США,116,16 +,70000000,Гэри МакКендри,6.4
667,Неадекватные люди (2010),2010,драма,Россия,102,16 +,100000,Роман Каримов,7.3
668,Неудержимые (2010),2010,триллер,США,103,16 +,82000000,Сильвестр Сталлоне,6.4
669,Помни меня (2010),2010,драма,США,113,16 +,16000000,Аллен Култер,7.1
670,Убойные каникулы (2010),2010,комедия,США,89,16 +,null,Илай Крэйг,7.5
671,Бесславные ублюдки (2009),2009,драма,США,153,16 +,70000000,null,8.4
672,День радио (2008),2008,комедия,Россия,98,16 +,4000000,Дмитрий Дьяченко,7.3
673,День выборов (2007),2007,комедия,Россия,125,18 +,null,Олег Фомин,7.4
674,Звездная пыль (2007),2007,мелодрама,США,127,16 +,70000000,Мэттью Вон,7.6
675,300 спартанцев (2006),2006,боевик,США,117,16 +,65000000,Зак Снайдер,7.6
676,Другой мир 2: Эволюция (2006),2006,триллер,США,106,16 +,50000000,Лен Уайзман,6.7
677,Брюс Всемогущий (2003),2003,драма,США,97,12 +,81000000,Том Шэдьяк,6.8
678,Как отделаться от парня за 10 дней (2003),2003,мелодрама,США,116,12 +,50000000,Дональд Питри,6.5
679,Любовь по правилам и без (2003),2003,мелодрама,США,128,16 +,80000000,Нэнси Майерс,6.7
680,Банды Нью-Йорка (2002),2002,драма,США,167,18 +,100000000,Мартин Скорсезе,7.5
681,Обитель зла (2002),2002,триллер,Германия,100,16 +,33000000,Пол У. С. Андерсон,6.6
682,Человек-паук (2002),2002,боевик,США,121,12 +,139000000,Сэм Рэйми,7.4
683,Амели (2001),2001,мелодрама,Германия,122,18 +,10000000,Жан-Пьер Жёне,8.3
684,И в печали и в радости... (2001),2001,драма,Индия,210,12 +,7500000,Каран Джохар,7.4
685,Планета Ка-Пэкс (2001),2001,драма,США,120,12 +,68000000,Иэн Софтли,7.4
686,Знакомство с родителями (2000),2000,мелодрама,США,108,12 +,55000000,Джей Роуч,7.0
687,Черная дыра (2000),2000,триллер,США,104,16 +,23000000,Дэвид Туи,7.0
688,Без чувств (1998),1998,мелодрама,США,93,16 +,15000000,Пенелопа Сфирис,6.0
689,Особенности национальной рыбалки (1998),1998,комедия,Россия,95,16 +,null,Александр Рогожкин,7.2
690,Четыре комнаты (1995),1995,комедия,США,98,16 +,4000000,null,6.7
691,Крестный отец 3 (1990),1990,драма,США,162,16 +,54000000,Френсис Форд Коппола,7.6
692,Оно (1990),1990,драма,США,192,18 +,null,Томми Ли Уоллес,6.8
694,9 1/2 недель (1985),1985,драма,США,117,18 +,17000000,Эдриан Лайн,5.9
695,Охотники за привидениями (1984),1984,комедия,США,105,6 +,30000000,Айвен Райтман,7.8
696,Роман с камнем (1984),1984,мелодрама,США,106,16 +,10000000,Роберт Земекис,6.9
697,Ва-банк (1981),1981,комедия,Польша,108,12 +,null,Юлиуш Махульский,7.8
698,Звездные войны: Эпизод 5 — Империя наносит ответный удар (1980),1980,боевик,США,124,12 +,18000000,Ирвин Кершнер,8.7
699,Сияние (1980),1980,драма,США,144,18 +,19000000,Стэнли Кубрик,8.4
700,В бой идут одни «старики» (1973),1973,драма,СССР,92,12 +,500000,Леонид Быков,8.2
701,Иван Васильевич меняет профессию (1973),1973,комедия,СССР,88,0 +,null,Леонид Гайдай,8.2
702,Моя прекрасная леди (1964),1964,драма,США,165,0 +,17000000,Джордж Кьюкор,7.7
703,Вызов (2023),2023,драма,Россия,164,12 +,null,Клим Шипенко,6.7
704,Одиннадцать молчаливых мужчин (2022),2022,драма,Россия,121,12 +,null,null,5.2
705,Годзилла против Конга (2021),2021,боевик,США,113,12 +,200000000,null,6.3
706,Красный Призрак (2020),2020,драма,Россия,96,16 +,null,Андрей Богатырев,6.2
707,Поезд в Пусан 2: Полуостров (2020),2020,триллер,Южная Корея,115,18 +,null,Ен Сан-хо,5.5
708,Путь домой (2019),2019,мелодрама,США,90,6 +,null,Чарльз Мартин Смит,6.7
709,Снегоуборщик (2019),2019,драма,Великобритания,118,18 +,null,Ганс Петтер Моланд,6.2
710,Страшные истории для рассказа в темноте (2019),2019,триллер,США,108,18 +,null,Андре Эвредал,6.2
711,Бегущий по лезвию 2049 (2017),2017,триллер,США,163,18 +,150000000,Дени Вильнев,8.0
712,2+1 (2016),2016,драма,Великобритания,118,16 +,null,Хьюго Желен,7.3
713,Большой и добрый великан (2016),2016,приключения,США,117,12 +,140000000,Стивен Спилберг,6.3
714,"Дивергент, глава 3: За стеной (2016)",2016,триллер,США,121,12 +,110000000,Роберт Швентке,5.7
715,Ла-Ла Ленд (2016),2016,драма,США,128,16 +,30000000,Дэмьен Шазелл,8.0
716,Дальняя дорога (2015),2015,драма,США,128,12 +,37000000,Джордж Тиллман мл.,7.0
717,Самый лучший день (2015),2015,комедия,Россия,112,16 +,null,Жора Крыжовников,4.5
718,Территория (2015),2015,драма,Россия,157,12 +,null,Александр Мельник,6.3
719,Одержимость (2014),2014,драма,США,106,16 +,3300000,Дэмьен Шазелл,8.5
720,Помпеи (2014),2014,драма,США,110,12 +,100000000,Пол У. С. Андерсон,5.5
721,Прежде чем я усну (2014),2014,триллер,Великобритания,92,16 +,null,Роуэн Жоффе,6.3
722,Приключения Паддингтона (2014),2014,комедия,Великобритания,95,0 +,55000000,Пол Кинг,7.3
723,"С любовью, Рози (2014)",2014,мелодрама,Германия,102,16 +,null,Кристиан Диттер,7.1
724,Starперцы (2013),2013,комедия,США,105,16 +,28000000,Джон Тёртелтауб,6.6
725,Пленницы (2013),2013,драма,США,153,16 +,46000000,Дени Вильнев,8.2
726,Штурм Белого дома (2013),2013,триллер,США,131,12 +,150000000,Роланд Эммерих,6.3
727,Дети сексу не помеха (2012),2012,комедия,США,107,18 +,null,Дженнифер Уэстфелд,6.1
728,Хранители снов (2012),2012,мультфильмы,США,97,0 +,null,Питер Рэмси,7.2
729,Трансформеры 3: Темная сторона Луны (2011),2011,боевик,США,146,16 +,195000000,Майкл Бэй,6.2
730,Время ведьм (2010),2010,боевик,США,98,16 +,40000000,Доминик Сена,5.4
731,Перси Джексон и похититель молний (2010),2010,приключения,США,118,12 +,95000000,Крис Коламбус,5.9
733,Звездный путь (2009),2009,боевик,США,127,16 +,150000000,Джей Джей Абрамс,7.9
734,Знамение (2009),2009,драма,США,121,16 +,50000000,Алекс Пройас,6.2
735,Кандагар (2009),2009,драма,Россия,100,16 +,7000000,Андрей Кавун,6.6
736,Район №9 (2009),2009,триллер,США,112,16 +,30000000,Нил Бломкамп,7.9
737,Сумерки. Сага. Новолуние (2009),2009,драма,США,130,16 +,50000000,Крис Вайц,4.8
738,Тарас Бульба (2009),2009,драма,Россия,131,16 +,15700000,Владимир Бортко,5.7
739,Гран Торино (2008),2008,драма,США,116,16 +,33000000,Клинт Иствуд,8.1
740,Еще одна из рода Болейн (2008),2008,драма,США,110,16 +,35000000,Джастин Чадвик,6.7
741,Рок-н-рольщик (2008),2008,триллер,США,114,18 +,18000000,Гай Ричи,7.2
742,12 (2007),2007,драма,Россия,153,16 +,2500000,Никита Михалков,7.5
743,Человек-паук 3: Враг в отражении (2007),2007,боевик,США,139,16 +,258000000,Сэм Рэйми,6.3
744,Код Да Винчи (2006),2006,триллер,США,149,16 +,125000000,Рон Ховард,6.6
745,Ночь в музее (2006),2006,комедия,США,108,12 +,110000000,Шон Леви,6.5
746,Город грехов (2005),2005,триллер,США,124,16 +,40000000,null,8.0
747,Нокдаун (2005),2005,драма,США,144,12 +,88000000,Рон Ховард,8.0
748,Турецкий гамбит (2005),2005,боевик,Россия,130,12 +,4000000,Джаник Файзиев,6.9
749,Законы привлекательности (2004),2004,мелодрама,Германия,87,18 +,32000000,Питер Хауит,5.9
750,Звездные войны: Эпизод 2 — Атака клонов (2002),2002,боевик,США,142,12 +,115000000,Джордж Лукас,6.6
751,Кукушка (2002),2002,драма,Россия,100,16 +,4000000,Александр Рогожкин,7.7
752,Лара Крофт: Расхитительница гробниц (2001),2001,триллер,США,100,16 +,80000000,Саймон Уэст,5.8
753,Перл Харбор (2001),2001,драма,США,183,12 +,140000000,Майкл Бэй,6.3
754,Сердцеедки (2001),2001,мелодрама,США,123,18 +,35000000,Дэвид Миркин,6.3
755,Легенда о пианисте (1998),1998,драма,Италия,120,18 +,9000000,Джузеппе Торнаторе,8.0
756,Солдат Джейн (1997),1997,драма,США,125,16 +,50000000,Ридли Скотт,6.0
757,Время убивать (1996),1996,драма,США,149,16 +,40000000,Джоэл Шумахер,7.5
758,Подозрительные лица (1995),1995,драма,США,106,16 +,6000000,Брайан Сингер,8.5
759,Легенды осени (1994),1994,драма,США,133,16 +,30000000,Эдвард Цвик,7.5
760,Правдивая ложь (1994),1994,триллер,США,135,16 +,115000000,Джеймс Кэмерон,7.3
761,Неспящие в Сиэтле (1993),1993,драма,США,105,0 +,21000000,Нора Эфрон,6.8
762,Крепкий орешек 2 (1990),1990,триллер,США,124,16 +,70000000,Ренни Харлин,7.2
